date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
2020-03-14,202011,3351543.0,3337357.0,False,True,1,0.02984,2020-03-13,0.0,0,7,state,AL,0,0
2020-03-14,202011,4207714.0,4144597.0,False,True,2,0.04753,2020-03-13,0.0,0,2,state,AM,0,0
2020-03-14,202011,14930634.0,14873064.0,False,True,7,0.04688,2020-03-13,0.0,0,9,state,BA,0,0
2020-03-14,202011,3055149.0,3015268.0,False,False,8,0.26185,2020-03-14,0.0,0,8,state,DF,6,0
2020-03-14,202011,4064052.0,4018650.0,False,False,4,0.09842000000000001,2020-03-14,0.0,0,10,state,ES,2,0
2020-03-14,202011,7113540.0,7018354.0,False,False,4,0.056229999999999995,2020-03-14,0.0,0,3,state,GO,1,0
2020-03-14,202011,21292666.0,21168791.0,False,False,4,0.01879,2020-03-14,0.0,0,7,state,MG,2,0
2020-03-14,202011,2809394.0,2778986.0,False,False,2,0.07119,2020-03-14,0.0,0,1,state,MS,2,0
2020-03-14,202011,4039277.0,4018127.0,False,False,0,,2020-03-14,0.0,0,3,state,PB,0,0
2020-03-14,202011,9616621.0,9557071.0,False,False,7,0.07279,2020-03-14,0.0,0,3,state,PE,5,0
2020-03-14,202011,11516840.0,11433957.0,False,True,6,0.0521,2020-03-13,0.0,0,3,state,PR,0,0
2020-03-14,202011,17366189.0,17264943.0,False,True,15,0.08637,2020-03-12,0.0,0,10,state,RJ,0,0
2020-03-14,202011,3534165.0,3506853.0,False,True,1,0.0283,2020-03-13,0.0,0,3,state,RN,0,0
2020-03-14,202011,11422973.0,11377239.0,False,True,4,0.035019999999999996,2020-03-13,0.0,0,5,state,RS,0,0
2020-03-14,202011,7252502.0,7164788.0,False,False,5,0.06894,2020-03-14,0.0,0,3,state,SC,2,0
2020-03-14,202011,2318822.0,2298696.0,False,False,1,0.04313,2020-03-14,0.0,0,1,state,SE,1,0
2020-03-14,202011,46289333.0,45919049.0,False,False,65,0.14042000000000002,2020-03-14,0.0,0,19,state,SP,19,0
2020-03-15,202012,3351543.0,3337357.0,False,True,1,0.02984,2020-03-13,0.0,0,8,state,AL,0,0
2020-03-15,202012,4207714.0,4144597.0,False,True,2,0.04753,2020-03-13,0.0,0,3,state,AM,0,0
2020-03-15,202012,14930634.0,14873064.0,False,False,9,0.06027999999999999,2020-03-15,0.0,0,10,state,BA,2,0
2020-03-15,202012,3055149.0,3015268.0,False,False,14,0.45824,2020-03-15,0.0,0,9,state,DF,6,0
2020-03-15,202012,4064052.0,4018650.0,False,False,4,0.09842000000000001,2020-03-15,0.0,0,11,state,ES,0,0
2020-03-15,202012,7113540.0,7018354.0,False,False,4,0.056229999999999995,2020-03-15,0.0,0,4,state,GO,0,0
2020-03-15,202012,21292666.0,21168791.0,False,True,4,0.01879,2020-03-14,0.0,0,8,state,MG,0,0
2020-03-15,202012,2809394.0,2778986.0,False,False,2,0.07119,2020-03-15,0.0,0,2,state,MS,0,0
2020-03-15,202012,4039277.0,4018127.0,False,False,0,,2020-03-15,0.0,0,4,state,PB,0,0
2020-03-15,202012,9616621.0,9557071.0,False,False,8,0.08319,2020-03-15,0.0,0,4,state,PE,1,0
2020-03-15,202012,11516840.0,11433957.0,False,True,6,0.0521,2020-03-13,0.0,0,4,state,PR,0,0
2020-03-15,202012,17366189.0,17264943.0,False,False,24,0.1382,2020-03-15,0.0,0,11,state,RJ,9,0
2020-03-15,202012,3534165.0,3506853.0,False,True,1,0.0283,2020-03-13,0.0,0,4,state,RN,0,0
2020-03-15,202012,11422973.0,11377239.0,False,True,4,0.035019999999999996,2020-03-13,0.0,0,6,state,RS,0,0
2020-03-15,202012,7252502.0,7164788.0,False,False,6,0.08273,2020-03-15,0.0,0,4,state,SC,1,0
2020-03-15,202012,2318822.0,2298696.0,False,True,1,0.04313,2020-03-14,0.0,0,2,state,SE,0,0
2020-03-15,202012,46289333.0,45919049.0,False,True,65,0.14042000000000002,2020-03-14,0.0,0,20,state,SP,0,0
2020-03-16,202012,3351543.0,3337357.0,False,False,1,0.02984,2020-03-16,0.0,0,9,state,AL,0,0
2020-03-16,202012,4207714.0,4144597.0,False,True,2,0.04753,2020-03-13,0.0,0,4,state,AM,0,0
2020-03-16,202012,14930634.0,14873064.0,False,False,10,0.06698,2020-03-16,0.0,0,11,state,BA,1,0
2020-03-16,202012,9187103.0,9132078.0,False,False,9,0.09796,2020-03-16,0.0,0,1,state,CE,9,0
2020-03-16,202012,3055149.0,3015268.0,False,False,19,0.6219,2020-03-16,0.0,0,10,state,DF,5,0
2020-03-16,202012,4064052.0,4018650.0,False,False,8,0.19685,2020-03-16,0.0,0,12,state,ES,4,0
2020-03-16,202012,7113540.0,7018354.0,False,False,9,0.12652,2020-03-16,0.0,0,5,state,GO,5,0
2020-03-16,202012,21292666.0,21168791.0,False,False,6,0.02818,2020-03-16,0.0,0,9,state,MG,2,0
2020-03-16,202012,2809394.0,2778986.0,False,False,4,0.14238,2020-03-16,0.0,0,3,state,MS,2,0
2020-03-16,202012,4039277.0,4018127.0,False,False,0,,2020-03-16,0.0,0,5,state,PB,0,0
2020-03-16,202012,9616621.0,9557071.0,False,False,8,0.08319,2020-03-16,0.0,0,5,state,PE,0,0
2020-03-16,202012,11516840.0,11433957.0,False,False,6,0.0521,2020-03-16,0.0,0,5,state,PR,0,0
2020-03-16,202012,17366189.0,17264943.0,False,False,25,0.14396,2020-03-16,0.0,0,12,state,RJ,1,0
2020-03-16,202012,3534165.0,3506853.0,False,False,1,0.0283,2020-03-16,0.0,0,5,state,RN,0,0
2020-03-16,202012,11422973.0,11377239.0,False,False,8,0.07003,2020-03-16,0.0,0,7,state,RS,4,0
2020-03-16,202012,7252502.0,7164788.0,False,False,7,0.09652000000000001,2020-03-16,0.0,0,5,state,SC,1,0
2020-03-16,202012,2318822.0,2298696.0,False,False,5,0.21563000000000002,2020-03-16,0.0,0,3,state,SE,4,0
2020-03-16,202012,46289333.0,45919049.0,False,False,152,0.32837,2020-03-16,0.0,0,21,state,SP,87,0
2020-03-17,202012,894470.0,881935.0,False,False,3,0.33539,2020-03-17,0.0,0,1,state,AC,3,0
